Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | T: 512 | dt: 1514ms | tok/sec: 346,393 | mfu: 8.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854656 | lrm: 1.00 | T: 512 | dt: 287ms | tok/sec: 1,826,246 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442198 | lrm: 1.00 | T: 512 | dt: 287ms | tok/sec: 1,825,100 | mfu: 44.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971442 | lrm: 1.00 | T: 512 | dt: 362ms | tok/sec: 1,446,718 | mfu: 35.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578557 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,777,382 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248419 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,738,087 | mfu: 42.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997318 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,761,378 | mfu: 42.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.785847 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,732,959 | mfu: 41.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.605350 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,774,142 | mfu: 42.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.452738 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,802,677 | mfu: 43.6% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.322219 | lrm: 1.00 | T: 512 | dt: 301ms | tok/sec: 1,744,669 | mfu: 42.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.212732 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,786,301 | mfu: 43.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.115216 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,786,628 | mfu: 43.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.028308 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,757,308 | mfu: 42.5% | epoch: 1 | remaining: 299s    
step 00141 (13.7%) | loss: 3.574783 | lrm: 1.00 | T: 512 | dt: 354ms | tok/sec: 1,481,799 | mfu: 35.8% | epoch: 1 | remaining: 258s    
step 00142 (13.8%) | loss: 3.573038 | lrm: 1.00 | T: 512 | dt: 376ms | tok/sec: 1,392,790 | mfu: 33.7% | epoch: 1 | remaining: 258s    
step 00143 (14.0%) | loss: 3.570886 | lrm: 1.00 | T: 512 | dt: 325ms | tok/sec: 1,613,994 | mfu: 39.0% | epoch: 1 | remaining: 258s    
step 00144 (14.1%) | loss: 3.566927 | lrm: 1.00 | T: 512 | dt: 367ms | tok/sec: 1,428,132 | mfu: 34.5% | epoch: 1 | remaining: 257s    
step 00145 (14.2%) | loss: 3.566343 | lrm: 1.00 | T: 512 | dt: 347ms | tok/sec: 1,511,247 | mfu: 36.5% | epoch: 1 | remaining: 257s    
step 00146 (14.3%) | loss: 3.566056 | lrm: 1.00 | T: 512 | dt: 355ms | tok/sec: 1,477,390 | mfu: 35.7% | epoch: 1 | remaining: 257s    
step 00147 (14.4%) | loss: 3.566149 | lrm: 1.00 | T: 512 | dt: 400ms | tok/sec: 1,309,258 | mfu: 31.6% | epoch: 1 | remaining: 256s    
step 00148 (14.6%) | loss: 3.567581 | lrm: 1.00 | T: 512 | dt: 317ms | tok/sec: 1,651,600 | mfu: 39.9% | epoch: 1 | remaining: 256s    
step 00149 (14.7%) | loss: 3.564307 | lrm: 1.00 | T: 512 | dt: 390ms | tok/sec: 1,344,047 | mfu: 32.5% | epoch: 1 | remaining: 256s    
step 00150 (14.8%) | loss: 3.557342 | lrm: 1.00 | T: 512 | dt: 339ms | tok/sec: 1,547,657 | mfu: 37.4% | epoch: 1 | remaining: 255s    
step 00151 (14.9%) | loss: 3.555748 | lrm: 1.00 | T: 512 | dt: 304ms | tok/sec: 1,726,785 | mfu: 41.7% | epoch: 1 | remaining: 255s    
step 00152 (15.0%) | loss: 3.551298 | lrm: 1.00 | T: 512 | dt: 339ms | tok/sec: 1,547,828 | mfu: 37.4% | epoch: 1 | remaining: 255s    
step 00153 (15.1%) | loss: 3.548492 | lrm: 1.00 | T: 512 | dt: 358ms | tok/sec: 1,463,342 | mfu: 35.4% | epoch: 1 | remaining: 254s    
step 00154 (15.2%) | loss: 3.546180 | lrm: 1.00 | T: 512 | dt: 314ms | tok/sec: 1,668,368 | mfu: 40.3% | epoch: 1 | remaining: 254s    
step 00155 (15.4%) | loss: 3.541035 | lrm: 1.00 | T: 512 | dt: 325ms | tok/sec: 1,615,663 | mfu: 39.0% | epoch: 1 | remaining: 254s    
step 00156 (15.5%) | loss: 3.536346 | lrm: 1.00 | T: 512 | dt: 317ms | tok/sec: 1,654,247 | mfu: 40.0% | epoch: 1 | remaining: 253s    
step 00157 (15.6%) | loss: 3.534416 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,803,983 | mfu: 43.6% | epoch: 1 | remaining: 253s    
step 00158 (15.7%) | loss: 3.532232 | lrm: 1.00 | T: 512 | dt: 323ms | tok/sec: 1,625,001 | mfu: 39.3% | epoch: 1 | remaining: 253s    
step 00159 (15.8%) | loss: 3.529629 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,808,457 | mfu: 43.7% | epoch: 1 | remaining: 252s    
step 00160 (15.9%) | loss: 3.523955 | lrm: 1.00 | T: 512 | dt: 347ms | tok/sec: 1,510,960 | mfu: 36.5% | epoch: 1 | remaining: 252s    
step 00161 (16.0%) | loss: 3.519746 | lrm: 1.00 | T: 512 | dt: 299ms | tok/sec: 1,754,254 | mfu: 42.4% | epoch: 1 | remaining: 252s    
step 00162 (16.1%) | loss: 3.515820 | lrm: 1.00 | T: 512 | dt: 337ms | tok/sec: 1,556,750 | mfu: 37.6% | epoch: 1 | remaining: 251s    
step 00163 (16.2%) | loss: 3.513186 | lrm: 1.00 | T: 512 | dt: 312ms | tok/sec: 1,679,630 | mfu: 40.6% | epoch: 1 | remaining: 251s    
step 00164 (16.3%) | loss: 3.512038 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,758,416 | mfu: 42.5% | epoch: 1 | remaining: 251s    
step 00165 (16.4%) | loss: 3.507695 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,647,945 | mfu: 39.8% | epoch: 1 | remaining: 250s    
step 00166 (16.5%) | loss: 3.505432 | lrm: 1.00 | T: 512 | dt: 343ms | tok/sec: 1,526,591 | mfu: 36.9% | epoch: 1 | remaining: 250s    
step 00167 (16.6%) | loss: 3.504157 | lrm: 1.00 | T: 512 | dt: 289ms | tok/sec: 1,815,061 | mfu: 43.9% | epoch: 1 | remaining: 250s    
step 00168 (16.7%) | loss: 3.503981 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,807,662 | mfu: 43.7% | epoch: 1 | remaining: 250s    
step 00169 (16.8%) | loss: 3.507573 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,649,107 | mfu: 39.8% | epoch: 1 | remaining: 249s    
step 00170 (16.9%) | loss: 3.509175 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,791,697 | mfu: 43.3% | epoch: 1 | remaining: 249s    
step 00171 (17.0%) | loss: 3.503473 | lrm: 1.00 | T: 512 | dt: 375ms | tok/sec: 1,399,002 | mfu: 33.8% | epoch: 1 | remaining: 249s    
step 00172 (17.1%) | loss: 3.504960 | lrm: 1.00 | T: 512 | dt: 361ms | tok/sec: 1,451,085 | mfu: 35.1% | epoch: 1 | remaining: 248s    
step 00173 (17.3%) | loss: 3.502793 | lrm: 1.00 | T: 512 | dt: 331ms | tok/sec: 1,581,977 | mfu: 38.2% | epoch: 1 | remaining: 248s    
step 00174 (17.4%) | loss: 3.499291 | lrm: 1.00 | T: 512 | dt: 310ms | tok/sec: 1,689,650 | mfu: 40.8% | epoch: 1 | remaining: 248s    
step 00175 (17.5%) | loss: 3.491969 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,727,676 | mfu: 41.7% | epoch: 1 | remaining: 247s    
step 00176 (17.6%) | loss: 3.494190 | lrm: 1.00 | T: 512 | dt: 315ms | tok/sec: 1,665,283 | mfu: 40.2% | epoch: 1 | remaining: 247s    
step 00177 (17.7%) | loss: 3.484585 | lrm: 1.00 | T: 512 | dt: 337ms | tok/sec: 1,557,366 | mfu: 37.6% | epoch: 1 | remaining: 247s    
step 00178 (17.8%) | loss: 3.481642 | lrm: 1.00 | T: 512 | dt: 317ms | tok/sec: 1,656,417 | mfu: 40.0% | epoch: 1 | remaining: 246s    
step 00179 (17.9%) | loss: 3.478153 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,806,358 | mfu: 43.6% | epoch: 1 | remaining: 246s    
step 00180 (18.0%) | loss: 3.471748 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,766,624 | mfu: 42.7% | epoch: 1 | remaining: 246s    
step 00181 (18.1%) | loss: 3.466666 | lrm: 1.00 | T: 512 | dt: 299ms | tok/sec: 1,755,638 | mfu: 42.4% | epoch: 1 | remaining: 245s    
step 00182 (18.2%) | loss: 3.467269 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,772,655 | mfu: 42.8% | epoch: 1 | remaining: 245s    
step 00183 (18.3%) | loss: 3.466107 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,730,563 | mfu: 41.8% | epoch: 1 | remaining: 245s    
step 00184 (18.4%) | loss: 3.458949 | lrm: 1.00 | T: 512 | dt: 394ms | tok/sec: 1,332,150 | mfu: 32.2% | epoch: 1 | remaining: 244s    
step 00185 (18.5%) | loss: 3.460928 | lrm: 1.00 | T: 512 | dt: 289ms | tok/sec: 1,816,650 | mfu: 43.9% | epoch: 1 | remaining: 244s    
step 00186 (18.6%) | loss: 3.458787 | lrm: 1.00 | T: 512 | dt: 309ms | tok/sec: 1,695,001 | mfu: 41.0% | epoch: 1 | remaining: 244s    
step 00187 (18.7%) | loss: 3.453501 | lrm: 1.00 | T: 512 | dt: 357ms | tok/sec: 1,467,755 | mfu: 35.5% | epoch: 1 | remaining: 243s    
step 00188 (18.8%) | loss: 3.448863 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,646,666 | mfu: 39.8% | epoch: 1 | remaining: 243s    
step 00189 (18.9%) | loss: 3.453165 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,807,001 | mfu: 43.7% | epoch: 1 | remaining: 243s    
step 00190 (19.0%) | loss: 3.454574 | lrm: 1.00 | T: 512 | dt: 315ms | tok/sec: 1,666,901 | mfu: 40.3% | epoch: 1 | remaining: 243s    
step 00191 (19.1%) | loss: 3.454434 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,735,826 | mfu: 41.9% | epoch: 1 | remaining: 242s    
step 00192 (19.2%) | loss: 3.453063 | lrm: 1.00 | T: 512 | dt: 288ms | tok/sec: 1,817,427 | mfu: 43.9% | epoch: 1 | remaining: 242s    
step 00193 (19.3%) | loss: 3.450563 | lrm: 1.00 | T: 512 | dt: 304ms | tok/sec: 1,726,086 | mfu: 41.7% | epoch: 1 | remaining: 242s    
step 00194 (19.4%) | loss: 3.444042 | lrm: 1.00 | T: 512 | dt: 300ms | tok/sec: 1,748,756 | mfu: 42.3% | epoch: 1 | remaining: 241s    
step 00195 (19.5%) | loss: 3.443787 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,785,305 | mfu: 43.1% | epoch: 1 | remaining: 241s    
step 00196 (19.6%) | loss: 3.445228 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,792,187 | mfu: 43.3% | epoch: 1 | remaining: 241s    
step 00197 (19.7%) | loss: 3.442639 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,736,518 | mfu: 42.0% | epoch: 1 | remaining: 240s    
step 00198 (19.8%) | loss: 3.433406 | lrm: 1.00 | T: 512 | dt: 298ms | tok/sec: 1,760,339 | mfu: 42.5% | epoch: 1 | remaining: 240s    
step 00199 (19.9%) | loss: 3.430670 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,790,567 | mfu: 43.3% | epoch: 1 | remaining: 240s    
step 00200 (20.0%) | loss: 3.428322 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,762,518 | mfu: 42.6% | epoch: 1 | remaining: 240s    
step 00201 (20.1%) | loss: 3.426049 | lrm: 1.00 | T: 512 | dt: 328ms | tok/sec: 1,599,324 | mfu: 38.6% | epoch: 1 | remaining: 239s    
step 00202 (20.2%) | loss: 3.427731 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,781,684 | mfu: 43.0% | epoch: 1 | remaining: 239s    
step 00203 (20.3%) | loss: 3.424899 | lrm: 1.00 | T: 512 | dt: 320ms | tok/sec: 1,640,392 | mfu: 39.6% | epoch: 1 | remaining: 239s    
step 00204 (20.5%) | loss: 3.421956 | lrm: 1.00 | T: 512 | dt: 311ms | tok/sec: 1,683,904 | mfu: 40.7% | epoch: 1 | remaining: 238s    
step 00205 (20.6%) | loss: 3.411971 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,737,455 | mfu: 42.0% | epoch: 1 | remaining: 238s    
step 00206 (20.7%) | loss: 3.409093 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,774,782 | mfu: 42.9% | epoch: 1 | remaining: 238s    
step 00207 (20.8%) | loss: 3.406970 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,797,578 | mfu: 43.4% | epoch: 1 | remaining: 237s    
step 00208 (20.9%) | loss: 3.406963 | lrm: 1.00 | T: 512 | dt: 332ms | tok/sec: 1,577,300 | mfu: 38.1% | epoch: 1 | remaining: 237s    
step 00209 (21.0%) | loss: 3.404643 | lrm: 1.00 | T: 512 | dt: 288ms | tok/sec: 1,822,605 | mfu: 44.0% | epoch: 1 | remaining: 237s    
step 00210 (21.1%) | loss: 3.399026 | lrm: 1.00 | T: 512 | dt: 293ms | tok/sec: 1,788,030 | mfu: 43.2% | epoch: 1 | remaining: 237s    
step 00211 (21.2%) | loss: 3.403298 | lrm: 1.00 | T: 512 | dt: 296ms | tok/sec: 1,771,177 | mfu: 42.8% | epoch: 1 | remaining: 236s    
step 00212 (21.3%) | loss: 3.397102 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,728,910 | mfu: 41.8% | epoch: 1 | remaining: 236s    
step 00213 (21.4%) | loss: 3.393381 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,795,226 | mfu: 43.4% | epoch: 1 | remaining: 236s    
step 00214 (21.5%) | loss: 3.391455 | lrm: 1.00 | T: 512 | dt: 327ms | tok/sec: 1,604,650 | mfu: 38.8% | epoch: 1 | remaining: 235s    
step 00215 (21.6%) | loss: 3.388981 | lrm: 1.00 | T: 512 | dt: 316ms | tok/sec: 1,659,184 | mfu: 40.1% | epoch: 1 | remaining: 235s    
step 00216 (21.7%) | loss: 3.390393 | lrm: 1.00 | T: 512 | dt: 326ms | tok/sec: 1,609,130 | mfu: 38.9% | epoch: 1 | remaining: 235s    
step 00217 (21.8%) | loss: 3.391978 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,798,147 | mfu: 43.4% | epoch: 1 | remaining: 234s    
step 00218 (21.9%) | loss: 3.391628 | lrm: 1.00 | T: 512 | dt: 339ms | tok/sec: 1,545,445 | mfu: 37.3% | epoch: 1 | remaining: 234s    
step 00219 (22.0%) | loss: 3.391414 | lrm: 1.00 | T: 512 | dt: 342ms | tok/sec: 1,534,835 | mfu: 37.1% | epoch: 1 | remaining: 234s    
step 00220 (22.1%) | loss: 3.393855 | lrm: 1.00 | T: 512 | dt: 380ms | tok/sec: 1,380,327 | mfu: 33.4% | epoch: 1 | remaining: 233s    
step 00221 (22.2%) | loss: 3.397497 | lrm: 1.00 | T: 512 | dt: 295ms | tok/sec: 1,777,326 | mfu: 42.9% | epoch: 1 | remaining: 233s    
step 00222 (22.3%) | loss: 3.395330 | lrm: 1.00 | T: 512 | dt: 315ms | tok/sec: 1,666,853 | mfu: 40.3% | epoch: 1 | remaining: 233s    
step 00223 (22.4%) | loss: 3.397381 | lrm: 1.00 | T: 512 | dt: 304ms | tok/sec: 1,725,243 | mfu: 41.7% | epoch: 1 | remaining: 232s    
step 00224 (22.5%) | loss: 3.396701 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,793,153 | mfu: 43.3% | epoch: 1 | remaining: 232s    
step 00225 (22.6%) | loss: 3.396003 | lrm: 1.00 | T: 512 | dt: 369ms | tok/sec: 1,419,269 | mfu: 34.3% | epoch: 1 | remaining: 232s    
step 00226 (22.8%) | loss: 3.397722 | lrm: 1.00 | T: 512 | dt: 385ms | tok/sec: 1,360,699 | mfu: 32.9% | epoch: 1 | remaining: 231s    
step 00227 (22.9%) | loss: 3.396598 | lrm: 1.00 | T: 512 | dt: 328ms | tok/sec: 1,597,302 | mfu: 38.6% | epoch: 1 | remaining: 231s    
step 00228 (23.0%) | loss: 3.395198 | lrm: 1.00 | T: 512 | dt: 360ms | tok/sec: 1,455,106 | mfu: 35.2% | epoch: 1 | remaining: 231s    
step 00229 (23.1%) | loss: 3.392742 | lrm: 1.00 | T: 512 | dt: 366ms | tok/sec: 1,430,752 | mfu: 34.6% | epoch: 1 | remaining: 230s    
step 00230 (23.2%) | loss: 3.393336 | lrm: 1.00 | T: 512 | dt: 369ms | tok/sec: 1,420,414 | mfu: 34.3% | epoch: 1 | remaining: 230s    
step 00231 (23.4%) | loss: 3.393614 | lrm: 1.00 | T: 512 | dt: 334ms | tok/sec: 1,570,403 | mfu: 37.9% | epoch: 1 | remaining: 230s    
step 00232 (23.5%) | loss: 3.390683 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,734,278 | mfu: 41.9% | epoch: 1 | remaining: 229s    
step 00233 (23.6%) | loss: 3.385780 | lrm: 1.00 | T: 512 | dt: 339ms | tok/sec: 1,544,580 | mfu: 37.3% | epoch: 1 | remaining: 229s    
step 00234 (23.7%) | loss: 3.383912 | lrm: 1.00 | T: 512 | dt: 306ms | tok/sec: 1,711,945 | mfu: 41.4% | epoch: 1 | remaining: 229s    
step 00235 (23.8%) | loss: 3.381182 | lrm: 1.00 | T: 512 | dt: 342ms | tok/sec: 1,533,123 | mfu: 37.0% | epoch: 1 | remaining: 228s    
step 00236 (23.9%) | loss: 3.378520 | lrm: 1.00 | T: 512 | dt: 400ms | tok/sec: 1,310,479 | mfu: 31.7% | epoch: 1 | remaining: 228s    
step 00237 (24.0%) | loss: 3.373456 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,808,484 | mfu: 43.7% | epoch: 1 | remaining: 228s    
step 00238 (24.1%) | loss: 3.375597 | lrm: 1.00 | T: 512 | dt: 334ms | tok/sec: 1,571,746 | mfu: 38.0% | epoch: 1 | remaining: 227s    
step 00239 (24.2%) | loss: 3.372042 | lrm: 1.00 | T: 512 | dt: 403ms | tok/sec: 1,300,273 | mfu: 31.4% | epoch: 1 | remaining: 227s    
step 00240 (24.4%) | loss: 3.367401 | lrm: 1.00 | T: 512 | dt: 360ms | tok/sec: 1,454,906 | mfu: 35.2% | epoch: 1 | remaining: 227s    
step 00241 (24.5%) | loss: 3.366871 | lrm: 1.00 | T: 512 | dt: 345ms | tok/sec: 1,520,606 | mfu: 36.7% | epoch: 1 | remaining: 226s    
step 00242 (24.6%) | loss: 3.367200 | lrm: 1.00 | T: 512 | dt: 327ms | tok/sec: 1,602,486 | mfu: 38.7% | epoch: 1 | remaining: 226s    
step 00243 (24.7%) | loss: 3.367960 | lrm: 1.00 | T: 512 | dt: 325ms | tok/sec: 1,611,266 | mfu: 38.9% | epoch: 1 | remaining: 226s    
step 00244 (24.8%) | loss: 3.367856 | lrm: 1.00 | T: 512 | dt: 290ms | tok/sec: 1,810,353 | mfu: 43.7% | epoch: 1 | remaining: 225s    
step 00245 (24.9%) | loss: 3.362404 | lrm: 1.00 | T: 512 | dt: 330ms | tok/sec: 1,587,247 | mfu: 38.4% | epoch: 1 | remaining: 225s    
step 00246 (25.0%) | loss: 3.358346 | lrm: 1.00 | T: 512 | dt: 304ms | tok/sec: 1,727,359 | mfu: 41.7% | epoch: 1 | remaining: 225s    
step 00247 (25.1%) | loss: 3.349671 | lrm: 1.00 | T: 512 | dt: 294ms | tok/sec: 1,784,934 | mfu: 43.1% | epoch: 1 | remaining: 224s    
step 00248 (25.2%) | loss: 3.351711 | lrm: 1.00 | T: 512 | dt: 339ms | tok/sec: 1,547,227 | mfu: 37.4% | epoch: 1 | remaining: 224s    
step 00249 (25.3%) | loss: 3.352261 | lrm: 1.00 | T: 512 | dt: 332ms | tok/sec: 1,576,889 | mfu: 38.1% | epoch: 1 | remaining: 224s    
step 00250 (25.5%) | loss: 3.353319 | lrm: 1.00 | T: 512 | dt: 326ms | tok/sec: 1,610,414 | mfu: 38.9% | epoch: 1 | remaining: 223s    
step 00251 (25.6%) | loss: 3.355886 | lrm: 1.00 | T: 512 | dt: 331ms | tok/sec: 1,586,270 | mfu: 38.3% | epoch: 1 | remaining: 223s    
step 00252 (25.7%) | loss: 3.358954 | lrm: 1.00 | T: 512 | dt: 320ms | tok/sec: 1,638,090 | mfu: 39.6% | epoch: 1 | remaining: 223s    
step 00253 (25.8%) | loss: 3.361122 | lrm: 1.00 | T: 512 | dt: 320ms | tok/sec: 1,639,312 | mfu: 39.6% | epoch: 1 | remaining: 222s    
step 00254 (25.9%) | loss: 3.364142 | lrm: 1.00 | T: 512 | dt: 318ms | tok/sec: 1,646,689 | mfu: 39.8% | epoch: 1 | remaining: 222s    
step 00255 (26.0%) | loss: 3.362974 | lrm: 1.00 | T: 512 | dt: 356ms | tok/sec: 1,472,515 | mfu: 35.6% | epoch: 1 | remaining: 222s    
step 00256 (26.1%) | loss: 3.357868 | lrm: 1.00 | T: 512 | dt: 316ms | tok/sec: 1,660,923 | mfu: 40.1% | epoch: 1 | remaining: 221s    
step 00257 (26.2%) | loss: 3.358490 | lrm: 1.00 | T: 512 | dt: 404ms | tok/sec: 1,296,184 | mfu: 31.3% | epoch: 1 | remaining: 221s    
step 00258 (26.4%) | loss: 3.351612 | lrm: 1.00 | T: 512 | dt: 334ms | tok/sec: 1,567,763 | mfu: 37.9% | epoch: 1 | remaining: 221s    
step 00259 (26.5%) | loss: 3.352766 | lrm: 1.00 | T: 512 | dt: 299ms | tok/sec: 1,750,744 | mfu: 42.3% | epoch: 1 | remaining: 220s    
step 00260 (26.6%) | loss: 3.351791 | lrm: 1.00 | T: 512 | dt: 398ms | tok/sec: 1,317,667 | mfu: 31.8% | epoch: 1 | remaining: 220s    
step 00261 (26.7%) | loss: 3.348790 | lrm: 1.00 | T: 512 | dt: 420ms | tok/sec: 1,247,263 | mfu: 30.1% | epoch: 1 | remaining: 219s    
step 00262 (26.8%) | loss: 3.348354 | lrm: 1.00 | T: 512 | dt: 339ms | tok/sec: 1,545,209 | mfu: 37.3% | epoch: 1 | remaining: 219s    
step 00263 (26.9%) | loss: 3.346752 | lrm: 1.00 | T: 512 | dt: 420ms | tok/sec: 1,246,894 | mfu: 30.1% | epoch: 1 | remaining: 219s    
step 00264 (27.1%) | loss: 3.346957 | lrm: 1.00 | T: 512 | dt: 321ms | tok/sec: 1,635,149 | mfu: 39.5% | epoch: 1 | remaining: 218s    
step 00265 (27.2%) | loss: 3.345487 | lrm: 1.00 | T: 512 | dt: 291ms | tok/sec: 1,803,515 | mfu: 43.6% | epoch: 1 | remaining: 218s    
step 00266 (27.3%) | loss: 3.340556 | lrm: 1.00 | T: 512 | dt: 307ms | tok/sec: 1,706,055 | mfu: 41.2% | epoch: 1 | remaining: 218s    
step 00267 (27.4%) | loss: 3.337267 | lrm: 1.00 | T: 512 | dt: 303ms | tok/sec: 1,729,354 | mfu: 41.8% | epoch: 1 | remaining: 218s    
step 00268 (27.5%) | loss: 3.337501 | lrm: 1.00 | T: 512 | dt: 353ms | tok/sec: 1,486,609 | mfu: 35.9% | epoch: 1 | remaining: 217s    
step 00269 (27.6%) | loss: 3.334417 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,737,328 | mfu: 42.0% | epoch: 1 | remaining: 217s    
step 00270 (27.7%) | loss: 3.336695 | lrm: 1.00 | T: 512 | dt: 348ms | tok/sec: 1,505,997 | mfu: 36.4% | epoch: 1 | remaining: 217s    
step 00271 (27.8%) | loss: 3.336678 | lrm: 1.00 | T: 512 | dt: 302ms | tok/sec: 1,736,025 | mfu: 41.9% | epoch: 1 | remaining: 216s    
step 00272 (27.9%) | loss: 3.337981 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,794,158 | mfu: 43.3% | epoch: 1 | remaining: 216s    
step 00273 (28.0%) | loss: 3.333501 | lrm: 1.00 | T: 512 | dt: 317ms | tok/sec: 1,654,674 | mfu: 40.0% | epoch: 1 | remaining: 216s    
step 00274 (28.1%) | loss: 3.332111 | lrm: 1.00 | T: 512 | dt: 316ms | tok/sec: 1,658,034 | mfu: 40.1% | epoch: 1 | remaining: 215s    
step 00275 (28.2%) | loss: 3.328641 | lrm: 1.00 | T: 512 | dt: 342ms | tok/sec: 1,532,102 | mfu: 37.0% | epoch: 1 | remaining: 215s    
step 00276 (28.4%) | loss: 3.334353 | lrm: 1.00 | T: 512 | dt: 315ms | tok/sec: 1,662,483 | mfu: 40.2% | epoch: 1 | remaining: 215s    
step 00277 (28.5%) | loss: 3.332408 | lrm: 1.00 | T: 512 | dt: 308ms | tok/sec: 1,703,169 | mfu: 41.2% | epoch: 1 | remaining: 214s    
step 00278 (28.6%) | loss: 3.329435 | lrm: 1.00 | T: 512 | dt: 292ms | tok/sec: 1,796,900 | mfu: 43.4% | epoch: 1 | remaining: 214s    
step 00279 (28.7%) | loss: 3.330025 | lrm: 1.00 | T: 512 | dt: 297ms | tok/sec: 1,763,783 | mfu: 42.6% | epoch: 1 | remaining: 214s    
step 00280 (28.8%) | loss: 3.329167 | lrm: 1.00 | T: 512 | dt: 447ms | tok/sec: 1,172,213 | mfu: 28.3% | epoch: 1 | remaining: 213s    
step 00281 (28.9%) | loss: 3.329243 | lrm: 1.00 | T: 512 | dt: 340ms | tok/sec: 1,543,845 | mfu: 37.3% | epoch: 1 | remaining: 213s    
step 00282 (29.0%) | loss: 3.327203 | lrm: 1.00 | T: 512 | dt: 335ms | tok/sec: 1,565,600 | mfu: 37.8% | epoch: 1 | remaining: 213s    
step 00283 (29.1%) | loss: 3.328170 | lrm: 1.00 | T: 512 | dt: 343ms | tok/sec: 1,526,707 | mfu: 36.9% | epoch: 1 | remaining: 212s    
